Batch,Provinsi,Kab/kota,Kategori,Prov,Divaksin 2
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Mesuji,PELAYAN PUBLIK,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Barat,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tulang Bawang,MASYARAKAT UMUM,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tanggamus,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT RENTAN,Lampung,8
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,61
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,69
MASYARAKAT UMUM & RENTAN,Lampung,Kota Metro,MASYARAKAT RENTAN,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,Lampung,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,Lampung,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,Lampung,17
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,Lampung,14
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,PENDIDIK,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,PRA-LANSIA,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,PRA-LANSIA,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT UMUM,Lampung,4
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,Lampung,17
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Barat,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT UMUM,Lampung,32
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,19
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,PENDIDIK,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,PRA-LANSIA,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,PRA-LANSIA,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,145
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Metro,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tanggamus,MASYARAKAT UMUM,Lampung,4
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tulang Bawang Barat,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,21
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Barat,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT UMUM,Lampung,32
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,12
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT UMUM,Lampung,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Utara,MASYARAKAT UMUM,Lampung,9
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Mesuji,MASYARAKAT UMUM,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT UMUM,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Utara,MASYARAKAT RENTAN,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Metro,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,Lampung,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,Lampung,0
