Batch,Provinsi,Kab/kota,Kategori,Prov,Divaksin 2
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,32
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,61
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,36
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,36
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,54
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,33
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,56
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,90
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,14
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,240
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,35
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,5
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,42
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,9
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,19
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,76
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,6
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,79
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,7
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,92
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,111
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,18
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,39
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,30
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,35
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,7
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,43
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,111
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,32
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,12
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,87
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,44
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,4
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,1
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,0
