Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Selatan,Lampung,LANSIA,177
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,901
Kab. Lampung Selatan,Lampung,LANSIA,10
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,POLRI,21
Kab. Lampung Selatan,Lampung,TRANSPORTASI PUBLIK,1
Kab. Lampung Selatan,Lampung,PENDIDIK,91
Kab. Lampung Selatan,Lampung,LANSIA,2
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,2
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1602
Kab. Lampung Selatan,Lampung,PARIWISATA,1
Kab. Lampung Selatan,Lampung,PARIWISATA,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,2
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,LANSIA,2
Kab. Lampung Selatan,Lampung,LANSIA,4
Kab. Lampung Selatan,Lampung,LANSIA,29
Kab. Lampung Selatan,Lampung,LANSIA,0
Kab. Lampung Selatan,Lampung,LANSIA,0
Kab. Lampung Selatan,Lampung,LANSIA,0
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,4
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,2
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,LANSIA,5
Kab. Lampung Selatan,Lampung,LANSIA,2
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,89
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,183
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,58
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,17
Kab. Lampung Selatan,Lampung,TNI,29
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,59
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,12
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,POLRI,24
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,1
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,0
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,1
