Kab/kota,Provinsi,Kategori,Divaksin_1
Kab. Pringsewu,Lampung,1,3
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,1,6
Kab. Pringsewu,Lampung,1,4
Kab. Pringsewu,Lampung,6,26
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,4,25
Kab. Pringsewu,Lampung,1,43
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,28
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,182
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,1,10
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,4,20
Kab. Pringsewu,Lampung,1,91
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,1,5
Kab. Pringsewu,Lampung,1,10
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,4,16
Kab. Pringsewu,Lampung,1,2
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,6,133
Kab. Pringsewu,Lampung,6,58
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,3
Kab. Pringsewu,Lampung,4,5
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,4
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,1,26
Kab. Pringsewu,Lampung,3,3
Kab. Pringsewu,Lampung,3,2
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,3
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,6,26
Kab. Pringsewu,Lampung,6,2
Kab. Pringsewu,Lampung,6,60
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,8
Kab. Pringsewu,Lampung,4,31
Kab. Pringsewu,Lampung,1,2
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,1,2
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,1,2
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,70
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,8
Kab. Pringsewu,Lampung,4,90
Kab. Pringsewu,Lampung,4,10
Kab. Pringsewu,Lampung,4,3
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,2
Kab. Pringsewu,Lampung,4,28
Kab. Pringsewu,Lampung,5,0
Kab. Pringsewu,Lampung,5,0
Kab. Pringsewu,Lampung,5,0
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,5
Kab. Pringsewu,Lampung,6,1
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,6,0
Kab. Pringsewu,Lampung,3,1
Kab. Pringsewu,Lampung,3,0
Kab. Pringsewu,Lampung,1,1
Kab. Pringsewu,Lampung,1,13
Kab. Pringsewu,Lampung,1,2
Kab. Pringsewu,Lampung,4,5
Kab. Pringsewu,Lampung,4,18
Kab. Pringsewu,Lampung,4,21
Kab. Pringsewu,Lampung,4,3
Kab. Pringsewu,Lampung,4,0
Kab. Pringsewu,Lampung,4,1
Kab. Pringsewu,Lampung,4,0
