Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT UMUM,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Barat,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,4
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Mesuji,PELAYAN PUBLIK,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,22
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,13
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,18
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,14
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,5
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,220
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,21
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,77
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,24
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,126
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,6
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,101
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,10
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,9
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,8
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT RENTAN,16
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,3
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,14
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Utara,MASYARAKAT RENTAN,13
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tanggamus,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tulang Bawang,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,PENDIDIK,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,PRA-LANSIA,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,PRA-LANSIA,5
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,29
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,7
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,145
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,15
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,323
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,19
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,4
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,6
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,265
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,7
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,4
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,427
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,42
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,14
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,12
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,405
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,169
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,10
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,209
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pesawaran,MASYARAKAT RENTAN,24
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,850
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,33
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT RENTAN,6
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Tanggamus,MASYARAKAT RENTAN,1
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,38
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT UMUM,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Barat,MASYARAKAT UMUM,4
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Selatan,MASYARAKAT UMUM,2
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Way Kanan,MASYARAKAT RENTAN,5
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,317
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Tengah,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,6
MASYARAKAT UMUM & RENTAN,Lampung,Kota Bandar Lampung,MASYARAKAT RENTAN,21
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Lampung Timur,MASYARAKAT RENTAN,0
MASYARAKAT UMUM & RENTAN,Lampung,Kab. Pringsewu,MASYARAKAT RENTAN,0
