Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,177
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,5
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,106
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,7
LANSIA,Lampung,Kab. Mesuji,LANSIA,4
LANSIA,Lampung,Kab. Pringsewu,LANSIA,3
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,50
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,3
LANSIA,Lampung,Kab. Pringsewu,LANSIA,91
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,5
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,2
LANSIA,Lampung,Kab. Pesawaran,LANSIA,2
LANSIA,Lampung,Kab. Way Kanan,LANSIA,13
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,6
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,32
LANSIA,Lampung,Kota Metro,LANSIA,13
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,2
LANSIA,Lampung,Kota Metro,LANSIA,2
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,29
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,133
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,7
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,2
LANSIA,Lampung,Kab. Tanggamus,LANSIA,4
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,9
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,2
LANSIA,Lampung,Kota Metro,LANSIA,2
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,2
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Way Kanan,LANSIA,9
LANSIA,Lampung,Kab. Pringsewu,LANSIA,43
LANSIA,Lampung,Kota Metro,LANSIA,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,7
LANSIA,Lampung,Kab. Way Kanan,LANSIA,26
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,37
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,21
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,18
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,6
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,4
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,4
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,7
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,3
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,3
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,6
LANSIA,Lampung,Kab. Pesawaran,LANSIA,15
LANSIA,Lampung,Kab. Tanggamus,LANSIA,2
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,3
LANSIA,Lampung,Kab. Way Kanan,LANSIA,3
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,5
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kota Metro,LANSIA,3
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,4
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,4
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,7
LANSIA,Lampung,Kab. Tanggamus,LANSIA,55
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,4
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,37
LANSIA,Lampung,Kab. Mesuji,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,12
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,3
LANSIA,Lampung,Kab. Pringsewu,LANSIA,6
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,19
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,11
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,5
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,2
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,46
LANSIA,Lampung,Kab. Tanggamus,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,9
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,3
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,3
LANSIA,Lampung,Kab. Pesawaran,LANSIA,2
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,3
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,214
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,31
LANSIA,Lampung,Kab. Mesuji,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,8
