Tanggal,Provinsi,Kategori,Divaksin 1,divaksin1 (ribu)
7/21/2021,Lampung,PELAYAN PUBLIK,6,0.006
7/21/2021,Lampung,WARTAWAN DAN PEKERJA MEDIA,1,0.001
7/21/2021,Lampung,PENDIDIK,6,0.006
7/21/2021,Lampung,SDM KESEHATAN,3,0.003
7/21/2021,Lampung,SDM KESEHATAN,2,0.002
7/21/2021,Lampung,SDM KESEHATAN,1,0.001
7/21/2021,Lampung,PEGAWAI PEMERINTAH,1,0.001
7/21/2021,Lampung,MASYARAKAT UMUM,7,0.007
7/21/2021,Lampung,MASYARAKAT UMUM,21,0.021
7/21/2021,Lampung,PEGAWAI PEMERINTAH,5,0.005
7/21/2021,Lampung,PEGAWAI PEMERINTAH,2,0.002
7/21/2021,Lampung,PEGAWAI PEMERINTAH,2,0.002
7/21/2021,Lampung,Menunggu Konfirmasi,4,0.004
7/21/2021,Lampung,MASYARAKAT UMUM,109,0.109
7/21/2021,Lampung,MASYARAKAT UMUM,21,0.021
7/21/2021,Lampung,MASYARAKAT UMUM,21,0.021
7/21/2021,Lampung,PENDIDIK,9,0.009
7/21/2021,Lampung,PENDIDIK,6,0.006
7/21/2021,Lampung,PENDIDIK,1,0.001
7/21/2021,Lampung,BUMN,4,0.004
7/21/2021,Lampung,REMAJA,1,0.001
7/21/2021,Lampung,SDM KESEHATAN,0,0
7/21/2021,Lampung,SDM KESEHATAN,2,0.002
7/21/2021,Lampung,SDM KESEHATAN,1,0.001
7/21/2021,Lampung,SDM KESEHATAN,6,0.006
7/21/2021,Lampung,SDM KESEHATAN,3,0.003
7/21/2021,Lampung,SDM KESEHATAN,4,0.004
7/21/2021,Lampung,MASYARAKAT RENTAN,0,0
7/21/2021,Lampung,MASYARAKAT RENTAN,0,0
7/21/2021,Lampung,MASYARAKAT UMUM,38,0.038
7/21/2021,Lampung,LANSIA,7,0.007
7/21/2021,Lampung,LANSIA,10,0.01
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,PELAYAN PUBLIK,1,0.001
7/21/2021,Lampung,PRA-LANSIA,1,0.001
7/21/2021,Lampung,PARIWISATA,0,0
7/21/2021,Lampung,Menunggu Konfirmasi,413,0.413
7/21/2021,Lampung,Menunggu Konfirmasi,278,0.278
7/21/2021,Lampung,Menunggu Konfirmasi,27,0.027
7/21/2021,Lampung,BUMN,9,0.009
7/21/2021,Lampung,BUMN,1,0.001
7/21/2021,Lampung,BUMN,1,0.001
7/21/2021,Lampung,Menunggu Konfirmasi,19,0.019
7/21/2021,Lampung,Menunggu Konfirmasi,132,0.132
7/21/2021,Lampung,Menunggu Konfirmasi,88,0.088
7/21/2021,Lampung,Menunggu Konfirmasi,1,0.001
7/21/2021,Lampung,Menunggu Konfirmasi,4,0.004
7/21/2021,Lampung,Menunggu Konfirmasi,11,0.011
7/21/2021,Lampung,Menunggu Konfirmasi,41,0.041
7/21/2021,Lampung,LANSIA,16,0.016
7/21/2021,Lampung,LANSIA,3,0.003
7/21/2021,Lampung,LANSIA,2,0.002
7/21/2021,Lampung,LANSIA,9,0.009
7/21/2021,Lampung,LANSIA,6,0.006
7/21/2021,Lampung,LANSIA,1,0.001
7/21/2021,Lampung,LANSIA,3,0.003
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,PEGAWAI PEMERINTAH,1,0.001
7/21/2021,Lampung,PEGAWAI PEMERINTAH,5,0.005
7/21/2021,Lampung,PEGAWAI PEMERINTAH,8,0.008
7/21/2021,Lampung,PEGAWAI PEMERINTAH,0,0
7/21/2021,Lampung,PEGAWAI PEMERINTAH,2,0.002
7/21/2021,Lampung,PEGAWAI PEMERINTAH,7,0.007
